#frmMstItem																																		
																																		
																																		
#ITEMID	ITEMCODE	ITEMNAME	DESCRIPTION	UOM	UOM	CONVFACTOR	REOL	REOQ	MIN_QTY	MAX_QTY	ITEMTYPE	ITEMSTDRATE	BUYINGRATE	ITEMGROUPID	ITEMSUBGROUPID	INACTIVE	DATEADDED	DATECHANGED	ADDEDBY	CHANGEDBY	IMAGENAME	TAXPER	REFRATE	TAX	ITEMMRP	SELLDISC	ITEM_PACKING	SUBHEADING	GROUPCODE	SUBGROUPCODE	TAXTYPE	BARCODE	SUPID	BRAND
4285	5144	SHORTS CENMAX	SHORTS CENMAX	NOS	NOS	1	0	0	0	0	F	710	550	GARMENTS	CENMAX	N	16-Nov-13	16-Nov-13	ADMIN			0	0	5.5	710	15					I		0	
4284	5143	SHORTS CENMAX	SHORTS CENMAX	NOS	NOS	1	0	0	0	0	F	515	325	GARMENTS	CENMAX	N	16-Nov-13	16-Nov-13	ADMIN			0	0	5.5	515	15					I		0	
4283	5142	SKIRTS CENMAX	SKIRTS CENMAX	NOS	NOS	1	0	0	0	0	F	670	450	GARMENTS	CENMAX	N	16-Nov-13	16-Nov-13	ADMIN			0	0	5.5	670	15					I		0	
4282	5141	SR KONEX 	SR KONEX 	NOS	NOS	1	0	0	0	0	F	875	400	SHUTTLE RACKET	KUAIKE SR	N	15-Nov-13	15-Nov-13	ADMIN			5.5	0	5.5	875	14.2					I		5	Konex
4281	5140	SQR KONEX 8000	SQR KONEX 8000	NOS	NOS	1	0	0	0	0	F	3200	1480	OTHERS	GOODS	N	15-Nov-13	15-Nov-13	ADMIN			5.5	0	5.5	3200	15					I		5	Konex
4280	5139	NAILS	NAILS	NOS	NOS	1	0	0	0	0	F	35	15	CRICKET	CRICKET BALL	N	15-Nov-13	15-Nov-13	ADMIN			0	0	5.5	35	15					I		0	
4279	5138	CR HALF MAT	CR HALF MAT	NOS	NOS	1	0	0	0	0	F	8699	5085	CRICKET	CRICKET BALL	N	15-Nov-13	15-Nov-13	ADMIN			0	0	5.5	8699	15					I		0	
4278	5137	CRBL TWENTY 20	CRBL TWENTY 20	NOS	NOS	1	0	0	0	0	F	215	85	CRICKET	CRICKET BALL	N	14-Nov-13	14-Nov-13	ADMIN			0	0	5.5	215	15					I		0	
4277	5136	CRBL PLATINUM	CRBL PLATINUM	NOS	NOS	1	0	0	0	0	F	275	105	CRICKET	CRICKET BALL	N	14-Nov-13	14-Nov-13	ADMIN			0	0	5.5	275	15					I		0	
4276	5135	PUSH UP BAR ELITE	PUSH UP BAR ELITE	NOS	NOS	1	0	0	0	0	F	450	225	OTHERS	GOODS	N	14-Nov-13	14-Nov-13	ADMIN			0	0	5.5	450	10					E		0	
4275	5134	CRBT JUNIOR	CRBT JUNIOR	NOS	NOS	1	0	0	0	0	F	300	80	CRICKET  ACC	ALFA	N	13-Nov-13	13-Nov-13	ADMIN			0	0	5.5	300	10					I		0	
4274	5133	SHORTS SPORTIFF M-43 JR	SHORTS SPORTIFF M-43 JR	PAIR	PAIR	1	0	0	0	0	F	355	220	GARMENTS	ANTIQUE	N	11-Nov-13	11-Nov-13	ADMIN			0	0	5.5	355	10					I	m-43 jr	153	
